trade_id,symbol,open_date_time,volume,side,open_price,initial_stop_loss,take_profit,close_date_time,swap,commission,profit,close_reason,candle_patterns
W963704386449645,BTCUSDC,2025-01-01T22:32:29,0.03,BUY,94812.50,94563.20,953738,2025-01-01T23:28:11.594,0.00,0.00,-7.53,CLOSE_REASON_STOP_LOSS,
W963704386449677,EURUSD,2025-01-01T23:00:05,0.07,SELL,1.03493,1.0357982989072314,1.0327942527319214,2025-01-01T23:00:09.996,0.00,-0.18,-7.01,CLOSE_REASON_STOP_LOSS,"['CDL_3OUTSIDE', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
W963704386449678,AUDUSD,2025-01-01T23:00:11,0.21,SELL,0.61855,0.6188552265003613,0.6178219337490968,2025-01-01T23:00:14.482,0.00,-0.53,-7.99,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
W963704386449679,EURUSD,2025-01-01T23:01:16,0.1,SELL,1.03517,1.0357982989072314,1.0336342527319213,2025-01-01T23:01:33.762,0.00,-0.25,-7.00,CLOSE_REASON_STOP_LOSS,"['CDL_3OUTSIDE', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
W963704386449680,AUDUSD,2025-01-01T23:01:21,0.16,SELL,0.61851,0.6188552265003613,0.6171569337490967,2025-01-01T23:03:20.946,0.00,-0.4,-6.40,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
W963704386449697,EURUSD,2025-01-01T23:06:36,0.15,SELL,1.03539,1.0357983000028503,1.0344042499928745,2025-01-02T01:39:29.951,0.00,-0.38,-4.36,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_INSIDE', 'CDL_SPINNINGTOP']"
W963704386449850,AUDUSD,2025-01-02T00:26:09,0.08,BUY,0.61952,0.61875,0.62142,2025-01-02T01:42:42.99,0.00,-0.2,14.80,CLOSE_REASON_TAKE_PROFIT,"['CDL_ADVANCEBLOCK', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE', 'CDL_STALLEDPATTERN']"
W963704386449948,NZDUSD,2025-01-02T00:49:40,0.08,BUY,0.5601,0.5593,0.562,2025-01-02T02:49:20.68,0.00,-0.2,14.72,CLOSE_REASON_TAKE_PROFIT,"['CDL_3INSIDE', 'CDL_BELTHOLD', 'CDL_DOJI_10_0.1', 'CDL_HARAMI', 'CDL_HIGHWAVE', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_RICKSHAWMAN', 'CDL_SPINNINGTOP']"
W963704386450443,AUDUSD,2025-01-02T02:05:42,0.07,BUY,0.62133,0.62043,0.62344,2025-01-02T03:50:36.568,0.00,-0.18,0.34,CLOSE_REASON_STOP_LOSS,"['CDL_DOJI_10_0.1', 'CDL_HIGHWAVE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
W963704386450583,NZDUSD,2025-01-02T02:49:39,0.06,BUY,0.56201,0.56104,0.56434,2025-01-02T03:50:51.49,0.00,-0.15,-4.02,CLOSE_REASON_STOP_LOSS,"['CDL_3WHITESOLDIERS', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_LONGLINE', 'CDL_MARUBOZU']"
